Category,Sub Category,Order Date,Profit
"Eggs, Meat & Fish",Fish,9/18/2018,252.45
"Eggs, Meat & Fish",Mutton,12/22/2018,624.78
Oil & Masala,Edible Oil & Ghee,09-07-2016,573.87
Food Grains,Organic Staples,10/22/2015,187.68
Fruits & Veggies,Fresh Vegetables,12-05-2017,292.5
Beverages,Health Drinks,12-05-2017,184.32
"Eggs, Meat & Fish",Fish,12-05-2017,734.45
Food Grains,Rice,12-05-2017,1029.15
Snacks,Chocolates,3/13/2017,335.28
Snacks,Cookies,3/13/2017,76.68
Food Grains,Organic Staples,5/31/2016,234.27
Snacks,Noodles,5/31/2016,626.08
Fruits & Veggies,Fresh Vegetables,5/31/2016,809.56
Snacks,Cookies,5/28/2016,456.74
Oil & Masala,Edible Oil & Ghee,03-01-2015,620.9
Beverages,Soft Drinks,11/20/2017,1040.16
Food Grains,Dals & Pulses,11/20/2017,148.7
Beverages,Soft Drinks,05-11-2017,192.51
"Eggs, Meat & Fish",Fish,12/28/2016,280.06
Snacks,Chocolates,11/16/2017,341.36
Snacks,Cookies,11-07-2017,121.28
Food Grains,Atta & Flour,09-08-2015,605.64
Beverages,Health Drinks,09-08-2015,422.5
Snacks,Chocolates,09-08-2015,343.57
"Eggs, Meat & Fish",Mutton,09-08-2015,491.4
Oil & Masala,Spices,09-08-2015,176.25
"Eggs, Meat & Fish",Chicken,09-08-2015,60.75
Food Grains,Dals & Pulses,09-08-2015,237.36
Beverages,Health Drinks,08-05-2015,564.8
Food Grains,Dals & Pulses,08-05-2015,150.29
Fruits & Veggies,Organic Vegetables,08-05-2015,420.92
Fruits & Veggies,Fresh Vegetables,9/14/2015,471.69
Fruits & Veggies,Organic Fruits,9/14/2015,848.39
Oil & Masala,Spices,4/21/2018,546.75
Snacks,Noodles,11/21/2016,223.52
Fruits & Veggies,Organic Fruits,11/21/2016,55.12
Food Grains,Atta & Flour,12/15/2016,343.72
Snacks,Cookies,12-05-2015,433.35
Beverages,Health Drinks,12-05-2015,171.8
Oil & Masala,Edible Oil & Ghee,11/19/2015,783.72
Food Grains,Organic Staples,11/19/2015,236.98
Food Grains,Dals & Pulses,11/19/2015,195.5
Snacks,Noodles,11/28/2017,97.16
Bakery,Cakes,8/26/2015,792.4
Beverages,Soft Drinks,7/16/2017,138.21
Fruits & Veggies,Organic Fruits,7/16/2017,564.2
Beverages,Soft Drinks,10-12-2016,472.89
Fruits & Veggies,Organic Fruits,10-12-2016,334.88
Fruits & Veggies,Fresh Vegetables,10-12-2016,623.21
Beverages,Health Drinks,10-12-2016,414.12
Oil & Masala,Masalas,10-12-2016,432.6
"Eggs, Meat & Fish",Eggs,10/31/2016,340.75
Oil & Masala,Edible Oil & Ghee,3/21/2015,191.14
Bakery,Breads & Buns,3/21/2015,380.43
Food Grains,Organic Staples,11-06-2018,338.18
"Eggs, Meat & Fish",Mutton,07-06-2018,527.28
"Eggs, Meat & Fish",Eggs,07-06-2018,170.5
Food Grains,Organic Staples,6/24/2018,243.32
Bakery,Cakes,08-03-2015,484.2
Food Grains,Organic Staples,08-03-2015,404.1
Oil & Masala,Masalas,12/17/2018,295.68
Oil & Masala,Spices,06-03-2018,185.94
"Eggs, Meat & Fish",Mutton,12-09-2018,139.86
"Eggs, Meat & Fish",Chicken,12-01-2018,646.36
"Eggs, Meat & Fish",Eggs,12-01-2018,360.81
"Eggs, Meat & Fish",Mutton,12-01-2018,153.58
Beverages,Soft Drinks,12-01-2018,504.92
Fruits & Veggies,Organic Vegetables,12-01-2018,207.06
"Eggs, Meat & Fish",Chicken,02-09-2016,423.54
Beverages,Soft Drinks,01-02-2016,270.47
Food Grains,Rice,01-02-2016,527.67
Beverages,Health Drinks,01-02-2016,81.6
Snacks,Noodles,01-02-2016,177.06
Food Grains,Rice,01-02-2016,433.25
Oil & Masala,Masalas,10/28/2017,97.45
Fruits & Veggies,Organic Fruits,10/28/2017,876.16
Fruits & Veggies,Fresh Vegetables,12/24/2016,485.3
Food Grains,Dals & Pulses,12/24/2016,795.4
"Eggs, Meat & Fish",Fish,12/24/2016,638.37
"Eggs, Meat & Fish",Fish,12/24/2016,274.17
Beverages,Soft Drinks,12/24/2016,910.8
"Eggs, Meat & Fish",Chicken,12/24/2016,563.68
"Eggs, Meat & Fish",Chicken,08-09-2016,173.88
Food Grains,Organic Staples,08-09-2016,295.2
Snacks,Cookies,08-09-2016,240.8
Oil & Masala,Edible Oil & Ghee,2/28/2016,282.92
Beverages,Health Drinks,2/28/2016,149.04
Bakery,Breads & Buns,9/13/2015,43.02
Beverages,Soft Drinks,04-07-2018,444
Food Grains,Dals & Pulses,04-07-2018,247.8
Snacks,Cookies,04-07-2018,276.9
Beverages,Soft Drinks,04-07-2018,552.15
Fruits & Veggies,Organic Fruits,04-07-2018,773.37
Bakery,Cakes,11-12-2018,247
Bakery,Breads & Buns,06-04-2017,216.3
Fruits & Veggies,Organic Vegetables,06-04-2017,518.35
Snacks,Cookies,06-04-2017,124.6
Bakery,Cakes,06-04-2017,423.28
Beverages,Health Drinks,06-04-2017,214.8
Oil & Masala,Edible Oil & Ghee,06-04-2017,78.45
Oil & Masala,Masalas,06-04-2017,646.8
Bakery,Biscuits,06-01-2015,326.8
"Eggs, Meat & Fish",Fish,06-01-2015,369.3
Fruits & Veggies,Organic Fruits,06-01-2015,288.6
Beverages,Health Drinks,06-01-2015,59.18
Snacks,Cookies,06-01-2015,482.36
Beverages,Health Drinks,12-10-2017,959.85
Beverages,Health Drinks,09-11-2017,235.84
Beverages,Health Drinks,09-11-2017,127.44
Food Grains,Rice,12-10-2017,636.84
Fruits & Veggies,Organic Vegetables,12-10-2017,62.85
Food Grains,Rice,11/28/2016,170.91
Fruits & Veggies,Fresh Fruits,11/28/2016,617.28
Beverages,Soft Drinks,11/28/2016,990.97
"Eggs, Meat & Fish",Mutton,11/28/2016,476.19
Beverages,Soft Drinks,12-01-2018,290.4
Bakery,Breads & Buns,12-01-2018,359.38
Oil & Masala,Masalas,12-01-2018,63.9
Food Grains,Organic Staples,06-08-2018,216.75
Food Grains,Organic Staples,9/19/2015,150.88
Beverages,Soft Drinks,9/19/2015,275.4
"Eggs, Meat & Fish",Fish,06-06-2017,420
Fruits & Veggies,Organic Vegetables,11-10-2016,256.74
"Eggs, Meat & Fish",Chicken,6/16/2018,139.2
Oil & Masala,Masalas,1/22/2017,425
Bakery,Cakes,12-09-2018,180.84
Beverages,Soft Drinks,12-09-2018,612.56
Snacks,Noodles,12/28/2018,160.44
Snacks,Noodles,7/30/2016,282.88
Fruits & Veggies,Organic Fruits,7/30/2016,781.76
Bakery,Cakes,7/30/2016,137.64
Fruits & Veggies,Organic Vegetables,9/16/2018,493.74
Bakery,Cakes,9/16/2018,66.96
"Eggs, Meat & Fish",Fish,10/13/2018,284.2
Oil & Masala,Masalas,10/13/2018,137.92
Snacks,Chocolates,10/13/2018,286.47
Fruits & Veggies,Fresh Vegetables,10/13/2018,520.3
Snacks,Chocolates,9/26/2016,454.72
Fruits & Veggies,Organic Vegetables,9/26/2016,203.55
Beverages,Soft Drinks,11-02-2016,433.01
Bakery,Biscuits,9/26/2016,138.96
Fruits & Veggies,Organic Vegetables,9/26/2016,599.43
Bakery,Breads & Buns,9/26/2016,168.3
Oil & Masala,Spices,12/18/2017,738
Snacks,Noodles,12/18/2017,429.44
Fruits & Veggies,Organic Fruits,12/18/2017,298.62
Bakery,Biscuits,11/20/2017,244.65
Food Grains,Rice,11/20/2017,497.6
Fruits & Veggies,Organic Fruits,11/20/2017,418.32
"Eggs, Meat & Fish",Eggs,11/20/2017,237.32
Snacks,Chocolates,12/26/2015,263.19
Oil & Masala,Masalas,12/26/2015,547.36
Food Grains,Rice,12/26/2015,184.8
Oil & Masala,Edible Oil & Ghee,12/26/2015,527.8
Oil & Masala,Masalas,12/26/2015,630.08
Food Grains,Organic Staples,10/28/2017,994.84
"Eggs, Meat & Fish",Mutton,10/28/2017,304.81
Bakery,Breads & Buns,10/28/2017,96.6
Oil & Masala,Edible Oil & Ghee,10/28/2017,421.29
Bakery,Breads & Buns,10/28/2017,683.76
Snacks,Cookies,11/19/2018,292.6
Oil & Masala,Edible Oil & Ghee,05-04-2016,297.92
Bakery,Breads & Buns,12/30/2015,404.95
Fruits & Veggies,Fresh Fruits,06-01-2015,383.36
Oil & Masala,Spices,06-01-2015,586.95
Snacks,Cookies,4/15/2018,200.6
Snacks,Noodles,09-12-2017,196.14
Oil & Masala,Edible Oil & Ghee,09-12-2017,189.84
Snacks,Chocolates,09-12-2017,797.61
Beverages,Soft Drinks,09-12-2017,641.19
Fruits & Veggies,Fresh Fruits,9/27/2015,406.64
"Eggs, Meat & Fish",Mutton,08-09-2015,660.6
Snacks,Noodles,08-09-2015,775.54
Fruits & Veggies,Fresh Vegetables,12/28/2015,174.13
Bakery,Cakes,11-04-2015,89.84
Snacks,Cookies,11-04-2015,410.02
Food Grains,Organic Staples,11-04-2015,328.64
Fruits & Veggies,Fresh Vegetables,11-04-2015,602.14
Oil & Masala,Spices,11-04-2015,363.01
Bakery,Cakes,9/19/2015,141.12
Beverages,Health Drinks,4/23/2017,228.96
Fruits & Veggies,Fresh Vegetables,4/23/2017,914.32
Food Grains,Rice,11-03-2018,406
Fruits & Veggies,Fresh Vegetables,8/30/2017,226.8
Beverages,Health Drinks,8/30/2017,82.6
Beverages,Health Drinks,8/30/2017,316.6
Beverages,Health Drinks,8/30/2017,245.44
Snacks,Noodles,8/30/2017,490.59
Fruits & Veggies,Organic Fruits,4/25/2017,747.77
Beverages,Health Drinks,4/25/2017,164.25
Bakery,Breads & Buns,4/25/2017,608.7
Oil & Masala,Spices,09-01-2016,442.08
Food Grains,Rice,09-01-2016,210.14
Fruits & Veggies,Organic Vegetables,09-01-2016,415.72
Bakery,Cakes,07-12-2015,106.11
Food Grains,Atta & Flour,07-12-2015,416.99
Bakery,Biscuits,6/22/2016,234.39
Oil & Masala,Edible Oil & Ghee,4/13/2015,560.01
Beverages,Soft Drinks,4/13/2015,502.8
"Eggs, Meat & Fish",Chicken,4/13/2015,215.08
Fruits & Veggies,Organic Vegetables,4/13/2015,640.01
"Eggs, Meat & Fish",Chicken,12/20/2016,297.12
Bakery,Breads & Buns,6/15/2018,165.44
Fruits & Veggies,Organic Vegetables,07-08-2018,356.16
Food Grains,Rice,07-08-2018,629.12
"Eggs, Meat & Fish",Chicken,07-08-2018,684.16
Food Grains,Atta & Flour,09-01-2017,68.46
Fruits & Veggies,Fresh Vegetables,09-01-2017,684.76
Bakery,Breads & Buns,09-01-2017,187.05
Food Grains,Rice,09-01-2017,680.14
Beverages,Health Drinks,09-01-2017,62.2
Bakery,Biscuits,04-08-2017,289.77
Fruits & Veggies,Fresh Vegetables,04-08-2017,593.76
Snacks,Cookies,04-08-2017,74.7
Oil & Masala,Spices,04-08-2017,328.72
Fruits & Veggies,Organic Vegetables,4/23/2017,435.42
Fruits & Veggies,Organic Vegetables,03-08-2018,528.31
Snacks,Noodles,03-08-2018,56.2
"Eggs, Meat & Fish",Eggs,9/25/2018,655.68
"Eggs, Meat & Fish",Eggs,9/25/2018,125.4
"Eggs, Meat & Fish",Mutton,9/25/2018,333.72
Beverages,Health Drinks,9/25/2018,459.67
Bakery,Cakes,9/24/2015,622.72
Snacks,Noodles,10/21/2017,196.35
"Eggs, Meat & Fish",Mutton,10/21/2017,658.53
Bakery,Biscuits,10/21/2017,555.45
Oil & Masala,Spices,10/21/2017,362.25
Fruits & Veggies,Fresh Vegetables,5/29/2018,116.96
Food Grains,Rice,5/29/2018,339.6
Bakery,Breads & Buns,7/23/2015,216.45
Beverages,Health Drinks,7/23/2015,78.54
Oil & Masala,Spices,7/23/2015,72.4
"Eggs, Meat & Fish",Mutton,7/23/2015,295.23
Snacks,Chocolates,9/28/2017,522.75
Food Grains,Atta & Flour,8/27/2018,172.53
Food Grains,Rice,4/28/2016,179.48
Oil & Masala,Spices,4/28/2016,417.2
Food Grains,Rice,4/28/2016,464.12
Oil & Masala,Masalas,10/28/2017,224.51
"Eggs, Meat & Fish",Mutton,10/28/2017,378.36
Beverages,Health Drinks,6/26/2016,337.44
"Eggs, Meat & Fish",Mutton,11/27/2016,314.64
Fruits & Veggies,Organic Fruits,11/27/2016,265.65
Bakery,Biscuits,12-03-2016,462.21
Snacks,Cookies,12-03-2016,314.24
Snacks,Chocolates,11/24/2015,702.26
Bakery,Biscuits,12-11-2018,114.1
Bakery,Breads & Buns,12-11-2018,596.44
Oil & Masala,Spices,9/21/2015,995.85
Food Grains,Atta & Flour,9/21/2015,269.55
Oil & Masala,Edible Oil & Ghee,06-07-2015,382.4
Food Grains,Rice,6/30/2018,354.35
Bakery,Cakes,10/17/2018,753.58
Beverages,Soft Drinks,10/17/2018,195.12
Snacks,Noodles,10/31/2016,71.17
Bakery,Breads & Buns,09-08-2017,177.14
Beverages,Health Drinks,09-08-2017,318.99
Beverages,Health Drinks,09-08-2017,148.96
"Eggs, Meat & Fish",Chicken,09-08-2017,73.85
Bakery,Cakes,12/24/2015,98.98
Snacks,Cookies,4/16/2015,314.64
Oil & Masala,Masalas,12/24/2018,361.12
Food Grains,Atta & Flour,12-08-2018,198.12
Food Grains,Rice,12-08-2018,63.28
Fruits & Veggies,Fresh Fruits,12-08-2018,182.02
Beverages,Soft Drinks,12-08-2018,899.13
"Eggs, Meat & Fish",Eggs,12-08-2018,66.4
Bakery,Cakes,12-08-2018,505.23
Snacks,Cookies,12-08-2018,753.6
Oil & Masala,Edible Oil & Ghee,12-08-2018,256.76
Bakery,Breads & Buns,12-08-2018,458.56
"Eggs, Meat & Fish",Fish,11-03-2018,965.78
Food Grains,Dals & Pulses,11-03-2018,937.2
Snacks,Cookies,6/24/2018,393.76
Beverages,Soft Drinks,4/14/2017,167.67
Food Grains,Dals & Pulses,11-06-2018,290.22
Beverages,Health Drinks,03-04-2018,88.77
"Eggs, Meat & Fish",Fish,03-04-2018,305.28
Fruits & Veggies,Organic Fruits,6/22/2015,470.09
Bakery,Breads & Buns,10/19/2018,501.72
Food Grains,Organic Staples,10/19/2018,54.72
Bakery,Cakes,8/21/2018,162
Beverages,Soft Drinks,11/23/2018,113.04
Beverages,Health Drinks,11/23/2018,214.97
Snacks,Noodles,09-12-2015,226.24
Fruits & Veggies,Organic Vegetables,10-01-2018,374.33
Food Grains,Rice,4/15/2017,96.33
Fruits & Veggies,Fresh Fruits,4/15/2017,355.42
Food Grains,Organic Staples,4/15/2017,233.24
Beverages,Soft Drinks,4/15/2017,258.31
Bakery,Breads & Buns,06-06-2017,264.96
Snacks,Noodles,12/19/2015,517.56
Snacks,Cookies,12/19/2015,122.46
"Eggs, Meat & Fish",Eggs,06-12-2017,792
Snacks,Noodles,06-12-2017,258.3
Oil & Masala,Masalas,9/15/2018,444.96
Fruits & Veggies,Organic Fruits,1/20/2018,216.6
Fruits & Veggies,Fresh Vegetables,09-05-2017,74.4
Snacks,Noodles,09-05-2017,547.2
"Eggs, Meat & Fish",Fish,09-05-2017,34.3
Food Grains,Dals & Pulses,09-05-2017,313.12
Food Grains,Dals & Pulses,09-05-2017,217.58
Snacks,Chocolates,09-05-2017,347.38
Snacks,Chocolates,3/20/2018,231
Beverages,Soft Drinks,04-01-2017,848.4
Bakery,Cakes,04-01-2017,104.25
Food Grains,Dals & Pulses,04-01-2017,367.95
Oil & Masala,Masalas,04-01-2017,637
"Eggs, Meat & Fish",Mutton,04-01-2017,152.4
Oil & Masala,Edible Oil & Ghee,04-01-2017,860.65
Oil & Masala,Masalas,10/20/2018,93.5
Bakery,Biscuits,10/20/2018,821.78
Snacks,Noodles,12/13/2017,206.7
Food Grains,Dals & Pulses,02-12-2015,664.02
Food Grains,Dals & Pulses,9/26/2017,647.64
"Eggs, Meat & Fish",Chicken,9/26/2017,699.19
Food Grains,Atta & Flour,12/15/2016,206.21
Food Grains,Atta & Flour,12/15/2016,101.4
"Eggs, Meat & Fish",Eggs,12/15/2016,216.3
Beverages,Health Drinks,4/22/2017,167.86
Food Grains,Organic Staples,4/22/2017,484
Fruits & Veggies,Fresh Vegetables,4/22/2017,519.96
Beverages,Soft Drinks,4/22/2017,412.02
Snacks,Chocolates,4/22/2017,139.2
Oil & Masala,Edible Oil & Ghee,1/17/2016,168.84
Bakery,Biscuits,3/31/2018,208.08
Fruits & Veggies,Organic Fruits,12/16/2017,216.96
Beverages,Soft Drinks,12/20/2016,80.32
Bakery,Breads & Buns,11-09-2015,658.59
"Eggs, Meat & Fish",Chicken,11-09-2015,514.02
Beverages,Soft Drinks,11-09-2015,208.2
"Eggs, Meat & Fish",Fish,11-09-2015,359.55
Oil & Masala,Masalas,11-09-2015,790.4
Bakery,Breads & Buns,11-09-2015,251.37
Food Grains,Organic Staples,07-12-2017,255.6
Food Grains,Atta & Flour,10/27/2017,633.04
Fruits & Veggies,Organic Fruits,6/26/2017,146.76
Snacks,Chocolates,6/26/2017,403.92
Bakery,Cakes,10-06-2015,949.08
Bakery,Cakes,7/22/2015,195.17
Food Grains,Atta & Flour,7/22/2015,188.28
Snacks,Cookies,06-10-2018,491.92
Snacks,Cookies,06-10-2018,777.2
Fruits & Veggies,Organic Fruits,06-10-2018,649.44
"Eggs, Meat & Fish",Mutton,10/29/2015,478.8
Snacks,Cookies,06-09-2015,572.95
Snacks,Chocolates,06-09-2015,870.48
Bakery,Cakes,06-09-2015,843.48
Beverages,Soft Drinks,9/14/2015,74.34
Fruits & Veggies,Fresh Fruits,9/14/2015,526.03
Beverages,Soft Drinks,05-09-2017,327.95
Beverages,Health Drinks,3/18/2017,247.14
Beverages,Soft Drinks,12/27/2016,415.48
Food Grains,Atta & Flour,7/25/2017,545.22
Beverages,Health Drinks,7/25/2017,53.5
Fruits & Veggies,Organic Vegetables,7/25/2017,818.16
"Eggs, Meat & Fish",Mutton,7/25/2017,161.46
Beverages,Soft Drinks,5/30/2017,722.61
"Eggs, Meat & Fish",Fish,5/30/2017,115.08
Snacks,Cookies,5/30/2017,624.64
Food Grains,Dals & Pulses,5/30/2017,716.04
Bakery,Breads & Buns,5/30/2017,114.6
Beverages,Health Drinks,11-12-2018,380.16
Food Grains,Rice,3/16/2016,870.98
Snacks,Chocolates,3/16/2016,865.62
Snacks,Noodles,3/16/2016,519.39
Oil & Masala,Edible Oil & Ghee,3/16/2016,904.05
Fruits & Veggies,Organic Fruits,11/26/2018,777
Bakery,Breads & Buns,11/26/2018,80.82
Bakery,Breads & Buns,10/20/2017,310.3
Oil & Masala,Masalas,12/21/2018,121.2
Beverages,Health Drinks,12/21/2018,564.48
"Eggs, Meat & Fish",Eggs,1/22/2018,151.91
"Eggs, Meat & Fish",Eggs,1/22/2018,257.4
Snacks,Noodles,1/22/2018,272.25
"Eggs, Meat & Fish",Eggs,1/22/2018,89.25
Bakery,Breads & Buns,3/22/2016,256
"Eggs, Meat & Fish",Mutton,3/22/2016,519.12
"Eggs, Meat & Fish",Chicken,3/22/2016,689.04
Fruits & Veggies,Fresh Vegetables,1/23/2018,734.8
Oil & Masala,Masalas,5/21/2017,221.1
"Eggs, Meat & Fish",Eggs,5/21/2017,978.8
"Eggs, Meat & Fish",Chicken,12/26/2016,77.14
Bakery,Cakes,10/21/2018,178.88
Snacks,Noodles,10/21/2018,155.43
Snacks,Cookies,09-03-2016,237.36
Bakery,Breads & Buns,09-03-2016,367.31
"Eggs, Meat & Fish",Fish,09-03-2016,169.07
"Eggs, Meat & Fish",Chicken,11-07-2016,348.6
Snacks,Noodles,09-07-2018,646.68
Food Grains,Organic Staples,5/29/2017,115.44
Food Grains,Dals & Pulses,5/29/2017,396.48
Snacks,Noodles,07-10-2017,310.38
Beverages,Soft Drinks,09-03-2018,302.88
Beverages,Soft Drinks,12-03-2016,493.02
Food Grains,Rice,12-07-2016,412
Snacks,Chocolates,12-07-2016,669.53
Beverages,Soft Drinks,02-01-2015,374.64
Fruits & Veggies,Organic Fruits,7/14/2017,179.66
Beverages,Soft Drinks,12/18/2016,388.8
Snacks,Chocolates,05-11-2015,526.47
Fruits & Veggies,Fresh Vegetables,05-11-2015,44.9
"Eggs, Meat & Fish",Chicken,05-11-2015,665.61
Snacks,Chocolates,11/19/2018,294.84
Bakery,Cakes,11/19/2018,337.44
"Eggs, Meat & Fish",Fish,11/15/2016,204.29
Beverages,Soft Drinks,11/15/2016,501.81
"Eggs, Meat & Fish",Chicken,11/15/2016,308.91
"Eggs, Meat & Fish",Mutton,4/15/2017,421.77
Beverages,Soft Drinks,09-11-2018,607.36
